input: -0.123655, output_cpu: 0.469126, output_gpu: 0.469126
input: -0.283949, output_cpu: 0.429486, output_gpu: 0.429486
input: -0.153570, output_cpu: 0.461683, output_gpu: 0.461683
input: -0.331945, output_cpu: 0.417767, output_gpu: 0.417767
input: -0.183395, output_cpu: 0.454279, output_gpu: 0.454279
input: 0.570587, output_cpu: 0.638899, output_gpu: 0.638899
input: -0.665018, output_cpu: 0.339613, output_gpu: 0.339613
input: 0.979866, output_cpu: 0.727082, output_gpu: 0.727082
input: -0.831387, output_cpu: 0.303352, output_gpu: 0.303352
input: 0.071961, output_cpu: 0.517983, output_gpu: 0.517983
input: 0.309893, output_cpu: 0.576859, output_gpu: 0.576859
input: 0.460147, output_cpu: 0.613049, output_gpu: 0.613049
input: -1.729719, output_cpu: 0.150624, output_gpu: 0.150624
input: 0.141076, output_cpu: 0.535211, output_gpu: 0.535210
input: -0.315610, output_cpu: 0.421746, output_gpu: 0.421746
input: -0.120831, output_cpu: 0.469829, output_gpu: 0.469829
input: -0.326742, output_cpu: 0.419034, output_gpu: 0.419034
input: -0.063020, output_cpu: 0.484250, output_gpu: 0.484250
input: 1.126565, output_cpu: 0.755204, output_gpu: 0.755204
input: -1.089649, output_cpu: 0.251684, output_gpu: 0.251684
input: 0.738107, output_cpu: 0.676582, output_gpu: 0.676582
input: -0.400927, output_cpu: 0.401090, output_gpu: 0.401090
input: -0.256063, output_cpu: 0.436332, output_gpu: 0.436332
input: 0.228736, output_cpu: 0.556936, output_gpu: 0.556936
input: -0.241761, output_cpu: 0.439852, output_gpu: 0.439852
input: -0.585645, output_cpu: 0.357635, output_gpu: 0.357635
input: -0.051945, output_cpu: 0.487017, output_gpu: 0.487017
input: -0.060133, output_cpu: 0.484971, output_gpu: 0.484971
input: -0.055287, output_cpu: 0.486182, output_gpu: 0.486182
input: -0.278840, output_cpu: 0.430738, output_gpu: 0.430738
input: 0.095685, output_cpu: 0.523903, output_gpu: 0.523903
input: 0.579973, output_cpu: 0.641061, output_gpu: 0.641061
input: -0.522352, output_cpu: 0.372302, output_gpu: 0.372302
input: -0.128538, output_cpu: 0.467910, output_gpu: 0.467910
input: 0.307560, output_cpu: 0.576290, output_gpu: 0.576290
input: 0.388706, output_cpu: 0.595971, output_gpu: 0.595971
input: 0.218800, output_cpu: 0.554483, output_gpu: 0.554483
input: -0.285189, output_cpu: 0.429182, output_gpu: 0.429182
input: 0.049138, output_cpu: 0.512282, output_gpu: 0.512282
input: -0.020880, output_cpu: 0.494780, output_gpu: 0.494780
input: 0.112467, output_cpu: 0.528087, output_gpu: 0.528087
input: -0.027898, output_cpu: 0.493026, output_gpu: 0.493026
input: -0.564284, output_cpu: 0.362557, output_gpu: 0.362557
input: -0.132473, output_cpu: 0.466930, output_gpu: 0.466930
input: -0.172358, output_cpu: 0.457017, output_gpu: 0.457017
input: -0.939438, output_cpu: 0.281014, output_gpu: 0.281014
input: -0.293592, output_cpu: 0.427125, output_gpu: 0.427125
input: 0.204834, output_cpu: 0.551030, output_gpu: 0.551030
input: 0.933982, output_cpu: 0.717882, output_gpu: 0.717882
input: 0.901564, output_cpu: 0.711271, output_gpu: 0.711271
input: 0.751517, output_cpu: 0.679509, output_gpu: 0.679509
input: 1.254550, output_cpu: 0.778086, output_gpu: 0.778086
input: 1.615005, output_cpu: 0.834105, output_gpu: 0.834105
input: 1.600761, output_cpu: 0.832125, output_gpu: 0.832125
input: 1.047475, output_cpu: 0.740290, output_gpu: 0.740290
input: 0.637500, output_cpu: 0.654188, output_gpu: 0.654188
input: 0.477055, output_cpu: 0.617052, output_gpu: 0.617052
input: 0.707457, output_cpu: 0.669839, output_gpu: 0.669839
input: 0.831063, output_cpu: 0.696580, output_gpu: 0.696580
input: 0.382670, output_cpu: 0.594517, output_gpu: 0.594517
input: 0.277603, output_cpu: 0.568959, output_gpu: 0.568959
input: 0.551022, output_cpu: 0.634373, output_gpu: 0.634373
input: 0.576326, output_cpu: 0.640221, output_gpu: 0.640221
input: 0.140110, output_cpu: 0.534970, output_gpu: 0.534970
input: -0.287372, output_cpu: 0.428647, output_gpu: 0.428647
input: -0.422566, output_cpu: 0.395903, output_gpu: 0.395903
input: -0.238427, output_cpu: 0.440674, output_gpu: 0.440674
input: 0.063042, output_cpu: 0.515755, output_gpu: 0.515755
input: 0.277888, output_cpu: 0.569028, output_gpu: 0.569028
input: 0.997451, output_cpu: 0.730557, output_gpu: 0.730557
input: 0.817045, output_cpu: 0.693609, output_gpu: 0.693609
input: 0.427981, output_cpu: 0.605391, output_gpu: 0.605391
input: 0.010741, output_cpu: 0.502685, output_gpu: 0.502685
input: 0.792623, output_cpu: 0.688394, output_gpu: 0.688394
input: -0.216780, output_cpu: 0.446016, output_gpu: 0.446016
input: -0.069121, output_cpu: 0.482727, output_gpu: 0.482727
input: -0.060775, output_cpu: 0.484811, output_gpu: 0.484811
input: -0.085606, output_cpu: 0.478612, output_gpu: 0.478612
input: -0.030646, output_cpu: 0.492339, output_gpu: 0.492339
input: -0.240324, output_cpu: 0.440206, output_gpu: 0.440206
input: -0.461290, output_cpu: 0.386680, output_gpu: 0.386680
input: 0.584217, output_cpu: 0.642037, output_gpu: 0.642037
input: 1.837104, output_cpu: 0.862606, output_gpu: 0.862606
input: 1.939313, output_cpu: 0.874277, output_gpu: 0.874277
input: -0.602212, output_cpu: 0.353838, output_gpu: 0.353838
input: -0.043767, output_cpu: 0.489060, output_gpu: 0.489060
input: -0.441797, output_cpu: 0.391313, output_gpu: 0.391313
input: 0.007681, output_cpu: 0.501920, output_gpu: 0.501920
input: 0.202646, output_cpu: 0.550489, output_gpu: 0.550489
input: 0.927973, output_cpu: 0.716664, output_gpu: 0.716664
input: 0.661926, output_cpu: 0.659693, output_gpu: 0.659693
input: 0.315253, output_cpu: 0.578167, output_gpu: 0.578167
input: 0.222196, output_cpu: 0.555322, output_gpu: 0.555322
input: -0.392590, output_cpu: 0.403094, output_gpu: 0.403094
input: -1.453753, output_cpu: 0.189425, output_gpu: 0.189425
input: -3.179527, output_cpu: 0.039943, output_gpu: 0.039943
input: -3.079737, output_cpu: 0.043951, output_gpu: 0.043951
input: -1.134683, output_cpu: 0.243298, output_gpu: 0.243298
input: -0.619066, output_cpu: 0.349994, output_gpu: 0.349994
input: -0.570348, output_cpu: 0.361156, output_gpu: 0.361156
input: -0.454308, output_cpu: 0.388337, output_gpu: 0.388337
input: -0.010751, output_cpu: 0.497312, output_gpu: 0.497312
input: 0.740410, output_cpu: 0.677086, output_gpu: 0.677086
input: 0.473026, output_cpu: 0.616100, output_gpu: 0.616100
input: 0.621881, output_cpu: 0.650646, output_gpu: 0.650646
input: 0.404832, output_cpu: 0.599848, output_gpu: 0.599848
input: 0.325458, output_cpu: 0.580654, output_gpu: 0.580654
input: 0.232927, output_cpu: 0.557970, output_gpu: 0.557970
input: -0.023330, output_cpu: 0.494168, output_gpu: 0.494168
input: -0.080648, output_cpu: 0.479849, output_gpu: 0.479849
input: 0.219705, output_cpu: 0.554706, output_gpu: 0.554706
input: -0.003310, output_cpu: 0.499173, output_gpu: 0.499173
input: 0.088157, output_cpu: 0.522025, output_gpu: 0.522025
input: 0.174950, output_cpu: 0.543626, output_gpu: 0.543626
input: -0.114534, output_cpu: 0.471398, output_gpu: 0.471398
input: 0.512578, output_cpu: 0.625411, output_gpu: 0.625411
input: -0.107708, output_cpu: 0.473099, output_gpu: 0.473099
input: 0.236748, output_cpu: 0.558912, output_gpu: 0.558912
input: 0.433912, output_cpu: 0.606807, output_gpu: 0.606807
input: 0.489296, output_cpu: 0.619941, output_gpu: 0.619940
input: 0.112525, output_cpu: 0.528102, output_gpu: 0.528102
input: 0.072366, output_cpu: 0.518083, output_gpu: 0.518084
input: 0.401072, output_cpu: 0.598945, output_gpu: 0.598945
input: -0.109265, output_cpu: 0.472711, output_gpu: 0.472711
input: 0.046045, output_cpu: 0.511509, output_gpu: 0.511509
input: -0.162682, output_cpu: 0.459419, output_gpu: 0.459419
input: 0.268410, output_cpu: 0.566702, output_gpu: 0.566702
input: 0.434584, output_cpu: 0.606968, output_gpu: 0.606968
input: 0.563617, output_cpu: 0.637289, output_gpu: 0.637289
input: 0.681888, output_cpu: 0.664160, output_gpu: 0.664160
input: 0.653762, output_cpu: 0.657858, output_gpu: 0.657858
input: 0.463123, output_cpu: 0.613755, output_gpu: 0.613755
input: 0.554173, output_cpu: 0.635103, output_gpu: 0.635103
input: 0.592548, output_cpu: 0.643950, output_gpu: 0.643950
input: -0.105602, output_cpu: 0.473624, output_gpu: 0.473624
input: 0.126355, output_cpu: 0.531547, output_gpu: 0.531547
input: 0.683793, output_cpu: 0.664585, output_gpu: 0.664585
input: 0.400360, output_cpu: 0.598774, output_gpu: 0.598774
input: 0.025066, output_cpu: 0.506266, output_gpu: 0.506266
input: -0.028201, output_cpu: 0.492950, output_gpu: 0.492950
input: -0.054082, output_cpu: 0.486483, output_gpu: 0.486483
input: 0.621733, output_cpu: 0.650613, output_gpu: 0.650613
input: -0.161909, output_cpu: 0.459611, output_gpu: 0.459611
input: -0.736499, output_cpu: 0.323770, output_gpu: 0.323770
input: -0.357951, output_cpu: 0.411456, output_gpu: 0.411456
input: -0.017385, output_cpu: 0.495654, output_gpu: 0.495654
input: -0.239490, output_cpu: 0.440412, output_gpu: 0.440412
input: -0.222102, output_cpu: 0.444702, output_gpu: 0.444702
input: -0.269496, output_cpu: 0.433031, output_gpu: 0.433031
input: 0.061411, output_cpu: 0.515348, output_gpu: 0.515348
input: -0.075093, output_cpu: 0.481235, output_gpu: 0.481235
input: -0.401478, output_cpu: 0.400957, output_gpu: 0.400957
input: -0.806593, output_cpu: 0.308617, output_gpu: 0.308617
input: -0.685419, output_cpu: 0.335053, output_gpu: 0.335053
input: -0.844947, output_cpu: 0.300494, output_gpu: 0.300494
input: -0.704978, output_cpu: 0.330710, output_gpu: 0.330710
input: -0.971064, output_cpu: 0.274668, output_gpu: 0.274668
input: -1.067050, output_cpu: 0.255964, output_gpu: 0.255964
input: -0.970155, output_cpu: 0.274850, output_gpu: 0.274850
input: -0.377552, output_cpu: 0.406717, output_gpu: 0.406717
input: -0.000541, output_cpu: 0.499865, output_gpu: 0.499865
input: -0.585546, output_cpu: 0.357657, output_gpu: 0.357657
input: -0.515019, output_cpu: 0.374018, output_gpu: 0.374018
input: -0.482230, output_cpu: 0.381726, output_gpu: 0.381726
input: 0.085028, output_cpu: 0.521244, output_gpu: 0.521244
input: 0.400723, output_cpu: 0.598861, output_gpu: 0.598861
input: -0.034774, output_cpu: 0.491307, output_gpu: 0.491307
input: -0.423466, output_cpu: 0.395688, output_gpu: 0.395688
input: -0.084381, output_cpu: 0.478917, output_gpu: 0.478917
input: -0.748764, output_cpu: 0.321091, output_gpu: 0.321091
input: -1.083550, output_cpu: 0.252835, output_gpu: 0.252835
input: -1.132414, output_cpu: 0.243716, output_gpu: 0.243716
input: -0.822726, output_cpu: 0.305185, output_gpu: 0.305185
input: -0.502388, output_cpu: 0.376980, output_gpu: 0.376980
input: -0.369514, output_cpu: 0.408658, output_gpu: 0.408658
input: 0.383438, output_cpu: 0.594702, output_gpu: 0.594702
input: -0.118170, output_cpu: 0.470492, output_gpu: 0.470492
input: 0.584600, output_cpu: 0.642125, output_gpu: 0.642125
input: 0.765521, output_cpu: 0.682551, output_gpu: 0.682551
input: 0.161844, output_cpu: 0.540373, output_gpu: 0.540373
input: -0.626965, output_cpu: 0.348199, output_gpu: 0.348199
input: -0.220565, output_cpu: 0.445081, output_gpu: 0.445081
input: 0.200685, output_cpu: 0.550004, output_gpu: 0.550004
input: 0.422511, output_cpu: 0.604084, output_gpu: 0.604084
input: 0.539109, output_cpu: 0.631605, output_gpu: 0.631605
input: 0.507928, output_cpu: 0.624321, output_gpu: 0.624321
input: 0.358242, output_cpu: 0.588615, output_gpu: 0.588615
input: 0.601025, output_cpu: 0.645891, output_gpu: 0.645891
input: 1.076676, output_cpu: 0.745864, output_gpu: 0.745864
input: -0.187966, output_cpu: 0.453146, output_gpu: 0.453146
input: -0.059838, output_cpu: 0.485045, output_gpu: 0.485045
input: -0.305276, output_cpu: 0.424268, output_gpu: 0.424268
input: 0.307980, output_cpu: 0.576392, output_gpu: 0.576392
input: 0.112539, output_cpu: 0.528105, output_gpu: 0.528105
input: 0.777924, output_cpu: 0.685232, output_gpu: 0.685233
input: 0.852599, output_cpu: 0.701112, output_gpu: 0.701112
input: 0.741060, output_cpu: 0.677228, output_gpu: 0.677228
input: 0.886395, output_cpu: 0.708146, output_gpu: 0.708146
input: 0.708189, output_cpu: 0.670001, output_gpu: 0.670001
input: 0.559705, output_cpu: 0.636384, output_gpu: 0.636384
input: 0.320733, output_cpu: 0.579503, output_gpu: 0.579503
input: 0.068881, output_cpu: 0.517213, output_gpu: 0.517213
input: 0.153527, output_cpu: 0.538307, output_gpu: 0.538307
input: -0.974075, output_cpu: 0.274069, output_gpu: 0.274069
input: -1.232133, output_cpu: 0.225808, output_gpu: 0.225808
input: -0.705986, output_cpu: 0.330486, output_gpu: 0.330486
input: -0.489367, output_cpu: 0.380043, output_gpu: 0.380043
input: -0.142673, output_cpu: 0.464392, output_gpu: 0.464392
input: 0.026656, output_cpu: 0.506664, output_gpu: 0.506664
input: 0.094383, output_cpu: 0.523578, output_gpu: 0.523578
input: 0.083549, output_cpu: 0.520875, output_gpu: 0.520875
input: -0.000417, output_cpu: 0.499896, output_gpu: 0.499896
input: -0.195541, output_cpu: 0.451270, output_gpu: 0.451270
input: -0.427266, output_cpu: 0.394779, output_gpu: 0.394779
input: -0.953776, output_cpu: 0.278126, output_gpu: 0.278126
input: -0.672079, output_cpu: 0.338031, output_gpu: 0.338031
input: 0.344261, output_cpu: 0.344261, output_gpu: 0.344261
input: 0.104957, output_cpu: 0.104957, output_gpu: 0.104957
input: 0.170680, output_cpu: 0.170680, output_gpu: 0.170680
input: 0.565397, output_cpu: 0.565397, output_gpu: 0.565397
input: 0.602984, output_cpu: 0.602984, output_gpu: 0.602984
input: 0.467442, output_cpu: 0.467442, output_gpu: 0.467442
input: 0.424011, output_cpu: 0.424011, output_gpu: 0.424011
input: 0.771409, output_cpu: 0.771409, output_gpu: 0.771409
input: 0.775385, output_cpu: 0.775385, output_gpu: 0.775385
input: 0.546153, output_cpu: 0.546153, output_gpu: 0.546153
input: 0.362707, output_cpu: 0.362707, output_gpu: 0.362707
input: 0.248343, output_cpu: 0.248343, output_gpu: 0.248343
input: 0.461416, output_cpu: 0.461416, output_gpu: 0.461416
input: -0.086384, output_cpu: -0.086384, output_gpu: -0.086384
input: -0.203017, output_cpu: -0.203017, output_gpu: -0.203017
input: -0.003995, output_cpu: -0.003995, output_gpu: -0.003995
input: 0.326820, output_cpu: 0.326820, output_gpu: 0.326820
input: 0.358709, output_cpu: 0.358709, output_gpu: 0.358709
input: 0.226519, output_cpu: 0.226519, output_gpu: 0.226519
input: 0.172856, output_cpu: 0.172856, output_gpu: 0.172856
input: 0.141017, output_cpu: 0.141017, output_gpu: 0.141017
input: 0.505942, output_cpu: 0.505942, output_gpu: 0.505942
input: 0.348202, output_cpu: 0.348202, output_gpu: 0.348202
input: 0.131559, output_cpu: 0.131559, output_gpu: 0.131559
input: -0.103439, output_cpu: -0.103439, output_gpu: -0.103439
input: 0.064268, output_cpu: 0.064268, output_gpu: 0.064268
input: -0.270219, output_cpu: -0.270219, output_gpu: -0.270219
input: -0.218779, output_cpu: -0.218779, output_gpu: -0.218779
input: -0.047989, output_cpu: -0.047989, output_gpu: -0.047989
input: 0.242508, output_cpu: 0.242508, output_gpu: 0.242508
input: 0.303697, output_cpu: 0.303697, output_gpu: 0.303697
input: 0.367575, output_cpu: 0.367575, output_gpu: 0.367575
input: 0.511100, output_cpu: 0.511100, output_gpu: 0.511100
input: 0.561303, output_cpu: 0.561303, output_gpu: 0.561303
input: 0.556217, output_cpu: 0.556217, output_gpu: 0.556217
input: 0.009987, output_cpu: 0.009987, output_gpu: 0.009987
input: -0.023429, output_cpu: -0.023429, output_gpu: -0.023429
input: -0.094029, output_cpu: -0.094029, output_gpu: -0.094029
input: 0.252163, output_cpu: 0.252163, output_gpu: 0.252163
input: -0.251455, output_cpu: -0.251455, output_gpu: -0.251455
input: -0.174904, output_cpu: -0.174904, output_gpu: -0.174904
input: -0.111842, output_cpu: -0.111842, output_gpu: -0.111842
input: -0.031953, output_cpu: -0.031953, output_gpu: -0.031953
input: 0.032795, output_cpu: 0.032795, output_gpu: 0.032795
input: 0.118378, output_cpu: 0.118378, output_gpu: 0.118378
input: 0.124139, output_cpu: 0.124139, output_gpu: 0.124139
input: 0.348434, output_cpu: 0.348434, output_gpu: 0.348434
input: 0.510192, output_cpu: 0.510192, output_gpu: 0.510192
input: 0.036571, output_cpu: 0.036571, output_gpu: 0.036571
input: -0.067435, output_cpu: -0.067435, output_gpu: -0.067435
input: 0.063485, output_cpu: 0.063485, output_gpu: 0.063485
input: 0.131505, output_cpu: 0.131505, output_gpu: 0.131505
input: -0.066372, output_cpu: -0.066372, output_gpu: -0.066372
input: -0.131083, output_cpu: -0.131083, output_gpu: -0.131083
input: -0.197109, output_cpu: -0.197109, output_gpu: -0.197109
input: -0.290779, output_cpu: -0.290779, output_gpu: -0.290779
input: -0.107585, output_cpu: -0.107585, output_gpu: -0.107585
input: -0.010960, output_cpu: -0.010960, output_gpu: -0.010960
input: 0.057891, output_cpu: 0.057891, output_gpu: 0.057891
input: 0.165541, output_cpu: 0.165541, output_gpu: 0.165541
input: 0.396718, output_cpu: 0.396718, output_gpu: 0.396718
input: 0.366268, output_cpu: 0.366268, output_gpu: 0.366268
input: 0.250115, output_cpu: 0.250115, output_gpu: 0.250115
input: -0.081485, output_cpu: -0.081485, output_gpu: -0.081485
input: -0.123985, output_cpu: -0.123985, output_gpu: -0.123985
input: 0.048560, output_cpu: 0.048560, output_gpu: 0.048560
input: -0.160648, output_cpu: -0.160648, output_gpu: -0.160648
input: -0.106088, output_cpu: -0.106088, output_gpu: -0.106088
input: -0.218635, output_cpu: -0.218635, output_gpu: -0.218635
input: -0.012381, output_cpu: -0.012381, output_gpu: -0.012381
input: 0.249511, output_cpu: 0.249511, output_gpu: 0.249511
input: 0.256820, output_cpu: 0.256820, output_gpu: 0.256820
input: 0.204129, output_cpu: 0.204129, output_gpu: 0.204129
input: 0.462385, output_cpu: 0.462385, output_gpu: 0.462385
input: 0.496978, output_cpu: 0.496978, output_gpu: 0.496978
input: 0.247897, output_cpu: 0.247897, output_gpu: 0.247897
input: -0.042652, output_cpu: -0.042652, output_gpu: -0.042652
input: -0.101545, output_cpu: -0.101545, output_gpu: -0.101545
input: 0.082565, output_cpu: 0.082565, output_gpu: 0.082565
input: -0.086285, output_cpu: -0.086285, output_gpu: -0.086285
input: -0.108931, output_cpu: -0.108931, output_gpu: -0.108931
input: -0.174296, output_cpu: -0.174296, output_gpu: -0.174296
input: -0.028488, output_cpu: -0.028488, output_gpu: -0.028488
input: 0.389473, output_cpu: 0.389473, output_gpu: 0.389473
input: 0.330664, output_cpu: 0.330664, output_gpu: 0.330664
input: 0.254450, output_cpu: 0.254450, output_gpu: 0.254450
input: 0.022479, output_cpu: 0.022479, output_gpu: 0.022479
input: 0.530760, output_cpu: 0.530760, output_gpu: 0.530760
input: 0.223120, output_cpu: 0.223120, output_gpu: 0.223120
input: -0.076693, output_cpu: -0.076693, output_gpu: -0.076693
input: -0.160071, output_cpu: -0.160071, output_gpu: -0.160071
input: 0.003230, output_cpu: 0.003230, output_gpu: 0.003230
input: -0.157303, output_cpu: -0.157303, output_gpu: -0.157303
input: -0.179686, output_cpu: -0.179686, output_gpu: -0.179686
input: -0.057508, output_cpu: -0.057508, output_gpu: -0.057508
input: 0.067803, output_cpu: 0.067803, output_gpu: 0.067803
input: 0.442469, output_cpu: 0.442469, output_gpu: 0.442469
input: 0.287689, output_cpu: 0.287689, output_gpu: 0.287689
